"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,125000,100,0,0,0,0,0,0,0
1,10,57403,125000,98,0,0,0,0,-2,0,0
1,20,57642,125000,148,0,0,0,0,51.0204081632653,0,0
1,30,55128,125000,202,0,0,0,0,36.4864864864865,0,0
1,40,52642,125000,259,0,0,0,0,28.2178217821782,0,0
1,50,49502,125000,345,0,0,0,0,33.2046332046332,0,0
1,60,45059,125000,501,0,0,0,0,45.2173913043478,0,0
1,70,37644,125000,687,0,0,0,0,37.125748502994,0,0
1,80,29110,125000,985,0,0,0,0,43.3770014556041,0,0
1,90,16743,125000,1279,0,0,0,0,29.8477157360406,0,0
1,100,7918,125000,1511,0,0,0,0,18.1391712275215,0,0
1,110,4265,125000,1697,0,0,0,0,12.3097286565189,0,0
1,120,3048,125000,1658,0,0,0,0,-2.29817324690631,0,0
1,130,2677,125000,1628,0,0,0,0,-1.80940892641737,0,0
1,140,2843,125000,1632,0,0,0,0,0.245700245700246,0,0
1,150,2702,125000,1672,0,0,0,0,2.45098039215686,0,0
1,160,3522,125000,1648,0,0,0,0,-1.43540669856459,0,0
1,170,2747,125000,1638,0,0,0,0,-0.606796116504854,0,0
1,180,2543,125000,1656,0,0,0,0,1.0989010989011,0,0
1,190,3083,125000,1618,0,0,0,0,-2.29468599033816,0,0
1,200,3589,125000,1674,0,0,0,0,3.4610630407911,0,0
1,210,3915,125000,1450,0,27,0,86,-13.3811230585424,0,0
1,220,6340,125000,1399,0,11,0,106,-3.51724137931034,0,23.2558139534884
1,230,7580,125000,1465,0,12,0,100,4.71765546819157,0,-5.66037735849057
1,240,6347,125000,1499,0,12,0,122,2.32081911262799,0,22
1,250,6084,125000,1394,0,19,0,130,-7.00466977985324,0,6.55737704918033
1,260,7370,125000,1387,0,27,0,151,-0.502152080344333,0,16.1538461538462
1,270,8764,125000,1336,0,23,0,162,-3.67700072098053,0,7.28476821192053
1,280,10508,125000,1313,0,27,0,160,-1.72155688622754,0,-1.23456790123457
1,290,10144,125000,1281,0,21,0,183,-2.43716679360244,0,14.375
1,300,11201,125000,1267,0,14,0,184,-1.09289617486339,0,0.546448087431694
1,310,11300,125000,1209,0,20,0,194,-4.57774269928966,0,5.43478260869565
1,320,13193,125000,1220,0,25,0,191,0.909842845326716,0,-1.54639175257732
1,330,13219,125000,1184,0,21,0,200,-2.95081967213115,0,4.71204188481675
1,340,14302,125000,1145,0,26,0,176,-3.29391891891892,0,-12
1,350,15115,125000,1197,0,20,0,177,4.54148471615721,0,0.568181818181818
1,360,12974,125000,1209,0,19,0,179,1.00250626566416,0,1.12994350282486
1,370,13500,125000,1200,0,23,0,172,-0.744416873449132,0,-3.91061452513966
1,380,13202,125000,1244,0,29,0,179,3.66666666666667,0,4.06976744186047
1,390,11790,125000,1278,0,25,0,162,2.73311897106109,0,-9.49720670391062
1,400,10959,125000,1268,0,27,0,162,-0.782472613458529,0,0
1,410,11258,120425,1229,92,17,0,177,-3.07570977917981,0,9.25925925925926
1,420,12555,120849,1237,144,24,3,187,0.65093572009764,56.5217391304348,5.64971751412429
1,430,13408,118735,1212,162,26,2,205,-2.02101859337106,12.5,9.62566844919786
1,440,13461,117717,1168,224,32,2,228,-3.63036303630363,38.2716049382716,11.219512195122
1,450,14818,115060,1106,265,19,9,236,-5.30821917808219,18.3035714285714,3.50877192982456
1,460,17919,113180,991,325,24,11,252,-10.3978300180832,22.6415094339623,6.77966101694915
1,470,21809,111305,959,362,28,8,278,-3.22906155398587,11.3846153846154,10.3174603174603
1,480,23204,110055,895,368,23,5,286,-6.67361835245047,1.65745856353591,2.87769784172662
1,490,25516,109968,865,363,30,13,274,-3.35195530726257,-1.35869565217391,-4.1958041958042
1,500,26816,109722,777,415,18,7,260,-10.1734104046243,14.3250688705234,-5.10948905109489
1,510,29725,107177,725,447,17,16,257,-6.69240669240669,7.71084337349398,-1.15384615384615
1,520,31109,106232,745,468,24,14,243,2.75862068965517,4.69798657718121,-5.44747081712062
1,530,30650,104895,738,538,23,14,252,-0.939597315436242,14.957264957265,3.7037037037037
1,540,31653,101952,725,645,14,16,246,-1.76151761517615,19.8884758364312,-2.38095238095238
1,550,32071,97397,674,682,11,12,252,-7.03448275862069,5.73643410852713,2.4390243902439
1,560,35046,95548,646,827,14,11,265,-4.15430267062315,21.2609970674487,5.15873015873016
1,570,35781,89709,617,905,15,22,280,-4.48916408668731,9.4316807738815,5.66037735849057
