"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,125000,125000,125000,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,57517.3,57469.2,57564.5,125000,125000,125000,98.7,96.2,101.2,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,-3.8,1,0,0,0,0,0,0
20,10,57546.1,57408,57716.5,125000,125000,125000,141.1,137.6,144.8,0,0,0,0,0,0,0,0,0,0,0,0,43.0686517003755,39.4370727340502,46.3848623762228,0,0,0,0,0,0
30,10,55436,55261.9,55608.7,125000,125000,125000,200.6,197.4,203.7,0,0,0,0,0,0,0,0,0,0,0,0,42.3356788436829,39.1641329543768,45.2750427084951,0,0,0,0,0,0
40,10,52521.7,52324.3,52704.5,125000,125000,125000,273.4,266,281.4,0,0,0,0,0,0,0,0,0,0,0,0,36.2880125944459,33.292877870783,39.5367241640036,0,0,0,0,0,0
50,10,48831.3,48373,49241.7,125000,125000,125000,382.8,369.2,394.8,0,0,0,0,0,0,0,0,0,0,0,0,40.0446040252784,37.1478303349528,42.8733955492777,0,0,0,0,0,0
60,10,43423.6,42837.4,44007.8,125000,125000,125000,545.1,523,566.5,0,0,0,0,0,0,0,0,0,0,0,0,42.3801912394362,39.1882521648582,45.6030309137447,0,0,0,0,0,0
70,10,35303.1,34177.1,36345.7,125000,125000,125000,760.9,732.1,794,0,0,0,0,0,0,0,0,0,0,0,0,39.6380555916628,38.0397390136132,41.251555005925,0,0,0,0,0,0
80,10,25561.2,24209.1,26784.8,125000,125000,125000,1048.4,1021.1,1080,0,0,0,0,0,0,0,0,0,0,0,0,37.929011739095,36.2098560527384,39.6102740602461,0,0,0,0,0,0
90,10,14956,14012.7,15819.2,125000,125000,125000,1355.3,1316,1391.7,0,0,0,0,0,0,0,0,0,0,0,0,29.3050113146037,27.8241581574034,30.8739071989667,0,0,0,0,0,0
100,10,7236.7,6575.1,8054,125000,125000,125000,1563.9,1541.9,1584,0,0,0,0,0,0,0,0,0,0,0,0,15.5629444763029,13.0657575932436,18.069944136478,0,0,0,0,0,0
110,10,4194.5,3867,4505.6,125000,125000,125000,1660.8,1647,1674.7,0,0,0,0,0,0,0,0,0,0,0,0,6.2528754406169,4.36777569844731,8.10222600461504,0,0,0,0,0,0
120,10,2920.8,2738.3,3108,125000,125000,125000,1669.1,1657.4,1679.8,0,0,0,0,0,0,0,0,0,0,0,0,0.523404871333386,-0.67385924606147,1.71758098082514,0,0,0,0,0,0
130,10,2861.5,2735.2,3006.7,125000,125000,125000,1624.5,1609.8,1638.9,0,0,0,0,0,0,0,0,0,0,0,0,-2.65722315005388,-3.99360784089737,-1.55850142232782,0,0,0,0,0,0
140,10,3174.5,2993.9,3341.7,125000,125000,125000,1634.6,1627.1,1641.9,0,0,0,0,0,0,0,0,0,0,0,0,0.645982446222315,-0.577223085908247,1.77953822779588,0,0,0,0,0,0
150,10,2899.8,2735.2,3048.9,125000,125000,125000,1658.4,1640.2,1676.1,0,0,0,0,0,0,0,0,0,0,0,0,1.45441539712821,0.354323837082458,2.43833734948558,0,0,0,0,0,0
160,10,2983.8,2716.9,3195.6,125000,125000,125000,1649.1,1629.2,1664.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.514140398295521,-2.22181034695435,1.13826122644783,0,0,0,0,0,0
170,10,2992.7,2779.5,3220.5,125000,125000,125000,1647.6,1635.8,1662.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.0557885874358753,-1.52677654933667,1.44656823528084,0,0,0,0,0,0
180,10,2864.8,2661.2,3097.8,125000,125000,125000,1638.5,1620.5,1651.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.5412466399126,-1.58352452408,0.45450689034687,0,0,0,0,0,0
190,10,2945,2708.7,3229.6,125000,125000,125000,1631.5,1617.8,1644.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.398467946351294,-1.84116910911418,0.933622550655314,0,0,0,0,0,0
200,10,3184.7,2976.3,3372.1,125000,125000,125000,1656.5,1648.8,1664.3,0,0,0,0,0,0,0,0,0,0,0,0,1.54571081736515,0.889631472604832,2.38418627787784,0,0,0,0,0,0
210,10,3732.5,3505.9,3980.8,125000,125000,125000,1485.1,1468.8,1501.7,0,0,0,22.5,20.5,24.3,0,0,0,88.1,86.2,90.5,-10.3392394210857,-11.4123010931095,-9.16514498788353,0,0,0,0,0,0
220,10,5686.6,5438.1,5940.2,125000,125000,125000,1461.8,1437.7,1484.6,0,0,0,14.6,12.8,16.5,0,0,0,99.4,94,105.4,-1.5666941756876,-2.88886040008455,-0.464785571998564,0,0,0,12.7840136478978,7.47493500571476,18.2760375838342
230,10,6262.3,5801.7,6758.5,125000,125000,125000,1478.7,1465,1490.3,0,0,0,13.6,11.6,16,0,0,0,109.4,105.5,113.4,1.20386660978142,-0.168443690033097,2.65312075564777,0,0,0,10.5744527146912,5.64672832799574,15.3908493773878
240,10,6210.1,5778.3,6662.5,125000,125000,125000,1460.6,1441.1,1479.8,0,0,0,15.6,12.7,18.4,0,0,0,120.4,116.7,123.7,-1.22252787238377,-2.33022317673042,-0.0878001903342711,0,0,0,10.2934175711101,6.80016876539416,13.7841662427112
250,10,6649.3,6150.8,7111,125000,125000,125000,1428.8,1406.2,1453.3,0,0,0,17,14.3,19.5,0,0,0,132.3,127.1,137.2,-2.13620254245682,-4.32451250335369,-0.332559134580923,0,0,0,9.90293846568201,6.63951547627529,12.6707307473474
260,10,7340.9,6721.5,7879.1,125000,125000,125000,1391.7,1378.4,1406.1,0,0,0,21.2,17.3,25.4,0,0,0,149,142.3,155.2,-2.5532943425646,-3.85807955532582,-1.20145082200231,0,0,0,12.7015596701006,9.24972229179262,16.1184353625848
270,10,8313.3,7841.1,8791.9,125000,125000,125000,1352.9,1326.5,1375.8,0,0,0,20.1,18.4,21.6,0,0,0,158.7,151.5,165.7,-2.77734084060094,-4.57441350947903,-1.18711664703611,0,0,0,6.72941557655356,3.0875211744777,11.4554344822615
280,10,9385.4,8756.1,9942.5,125000,125000,125000,1334.1,1313.6,1352.4,0,0,0,23,20.7,25.1,0,0,0,168.5,160.6,176.5,-1.33221562332246,-2.9331498591987,0.627894623873779,0,0,0,6.21986788212515,3.38509851667746,8.98882921430487
290,10,10006.7,9460.6,10531,125000,125000,125000,1294.8,1268.7,1320,0,0,0,21.3,19.2,22.9,0,0,0,183.8,173.8,193,-2.93957906679059,-4.5043090643241,-1.58125683485238,0,0,0,9.10087651169192,6.04889175023814,12.1636950735925
300,10,10914.9,9997.8,11927,125000,125000,125000,1267.2,1230.3,1299.9,0,0,0,23.6,20.7,26.2,0,0,0,185.2,180.1,189.9,-2.15687859535215,-3.10210030676651,-1.32127075140855,0,0,0,1.25445156151445,-2.4408384654573,6.20338715272412
310,10,11855.7,10922.6,12855.2,125000,125000,125000,1227.5,1196.8,1256.2,0,0,0,24.4,22,26.8,0,0,0,185.6,180.8,190.3,-3.10803400528937,-4.20399590467134,-2.08856792782902,0,0,0,0.381533941827983,-3.21884724520096,3.25157449032604
320,10,12666,11662.7,13626.2,125000,125000,125000,1215.4,1187.3,1245.2,0,0,0,24.2,22.1,26.2,0,0,0,183.7,177.8,188.8,-0.929402075312959,-2.92356376092481,1.25085929477541,0,0,0,-1.02236111101973,-2.71425189757732,0.540411972357072
330,10,13528,12438.1,14646.4,125000,125000,125000,1195.4,1155.7,1233.9,0,0,0,21.3,19.8,22.8,0,0,0,189.7,183.2,196,-1.66240364468425,-3.09470538448479,-0.17197437350133,0,0,0,3.49233576069586,-0.533824121221604,7.89614381780237
340,10,14010.8,12746,15302.7,125000,125000,125000,1167.9,1139.2,1195.3,0,0,0,23.9,20.9,26.9,0,0,0,184.1,176.2,191.1,-2.2094286832874,-4.01466230090874,-0.456260620891394,0,0,0,-2.81681146966167,-6.83851287455304,0.970041640236552
350,10,14664.6,13805.3,15463.4,125000,125000,125000,1152,1128.3,1177.4,0,0,0,21.7,19.3,24.2,0,0,0,183.4,176.4,189.8,-1.29356965999337,-2.89497720600525,0.605407309577527,0,0,0,-0.201349744179657,-3.29271528755191,3.23914410841223
360,10,15132.7,14400,15869.5,125000,125000,125000,1155.9,1138.6,1173.6,0,0,0,22.5,19.1,25.8,0,0,0,177.6,168.3,185.1,0.408518585687165,-1.52755317380723,2.04331340036393,0,0,0,-3.22467597595905,-5.77742651419996,-0.952637623600906
370,10,14804.4,14171.6,15402.9,125000,125000,125000,1162.6,1140.1,1187.8,0,0,0,25.8,23.1,28.6,0,0,0,172.1,163.7,179.8,0.604365800365498,-1.55691581604642,2.82730811862365,0,0,0,-2.92216417403067,-6.24260950838511,0.451618978432712
380,10,14451.4,13605.3,15258.3,125000,125000,125000,1191.1,1164.5,1220.5,0,0,0,22.2,19.7,25.1,0,0,0,162.2,152.3,170.6,2.47264616220185,1.02054674940978,4.04255522271887,0,0,0,-5.60231251059201,-10.3114599206822,-0.953865717537266
390,10,13398.7,12402.8,14234.3,125000,125000,125000,1219.8,1184.2,1255.9,0,0,0,22.1,19.5,24.8,0,0,0,153.4,147.2,159.3,2.39452413935897,1.05941480921417,3.82877600110028,0,0,0,-5.15662291849485,-7.53078898658745,-2.50828009804471
400,10,12863.2,11713.3,13802.4,125000,125000,125000,1235.9,1206.2,1263.6,0,0,0,19.8,16.8,22.8,0,0,0,160,153.2,166.5,1.37329883385807,0.285750871564537,2.69804633365364,0,0,0,4.50045814506114,0.299940625808348,8.73572805370116
