timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,0,0,0,0
10,57435,62500,99,0,0,0,0
20,57627,62500,148,0,0,0,0
30,55132,62500,199,0,0,0,0
40,52470,62500,287,0,0,0,0
50,48608,62500,399,0,0,0,0
60,42603,62500,543,0,0,0,0
70,35534,62500,738,0,0,0,0
80,25950,62500,1057,0,0,0,0
90,14703,62500,1386,0,0,0,0
100,6618,62500,1531,0,0,0,0
110,4201,62500,1648,0,0,0,0
120,2754,62500,1636,0,0,0,0
130,3108,62500,1705,0,0,0,0
140,2433,62500,1639,0,0,0,0
150,3164,62500,1640,0,0,0,0
160,2681,62500,1687,0,0,0,0
170,2336,62500,1629,0,0,0,0
180,2478,62500,1688,0,0,0,0
190,2300,62500,1665,0,0,0,0
200,2243,62500,1612,0,0,0,0
210,3838,62500,1448,0,23,0,92
220,6061,62500,1527,0,10,0,89
230,5275,62500,1447,0,15,0,102
240,6216,62500,1487,0,18,0,117
250,6329,62500,1443,0,28,0,131
260,6792,62500,1379,0,23,0,150
270,8475,62500,1356,0,21,0,166
280,9627,62500,1311,0,21,0,181
290,10759,62500,1247,0,19,0,186
300,12662,62500,1206,0,32,0,188
310,13682,62500,1198,0,30,0,188
320,13626,62500,1167,0,33,0,196
330,14530,62500,1133,0,30,0,184
340,15100,62500,1153,0,22,0,181
350,14986,62500,1163,0,23,0,181
360,14798,62500,1167,0,26,0,167
370,14198,62500,1222,0,25,0,159
380,13099,62500,1163,0,13,0,175
390,14035,62500,1255,0,26,0,171
400,12391,62500,1245,0,24,0,170
410,12582,57763,1223,84,28,3,178
420,13155,58880,1175,83,29,2,182
430,13952,58867,1210,99,22,0,189
440,13599,58419,1231,93,20,3,198
450,13154,58413,1183,95,22,3,212
460,14723,58389,1115,95,21,1,184
470,17295,58447,1106,104,21,1,200
480,16816,57865,1077,108,18,1,190
490,17188,57913,1113,112,22,2,196
500,16434,57534,1115,132,21,3,176
510,15152,56378,1103,141,23,0,186
520,16641,55983,1154,178,21,2,207
530,15734,54807,1153,184,22,3,212
540,14587,55067,1163,173,20,4,203
550,14763,55027,1169,176,23,2,212
560,14942,55341,1152,166,35,6,217
570,15696,55194,1083,172,26,5,222
580,18280,55155,1077,175,23,3,215
590,18248,55449,1061,155,25,1,261
600,19573,56199,960,146,21,2,223
610,21718,56426,972,145,26,3,199
620,21532,55906,903,144,31,1,197
630,24414,56007,925,162,17,0,193
640,23790,55349,924,168,18,3,195
650,23038,55243,967,163,19,0,190
660,21467,55450,999,192,22,2,160
670,20513,53813,1048,210,22,3,163
680,17721,53132,1083,215,20,1,172
690,16123,52788,1158,265,25,0,174
700,15196,50894,1124,283,19,3,197
710,15987,49790,1125,319,16,8,213
720,16456,48883,1102,312,22,8,224
730,16848,48653,1089,330,18,6,249
740,18181,48382,1008,311,29,9,260
750,21067,49771,975,295,17,9,262
760,21982,49975,956,306,29,9,244
770,22848,50213,894,274,24,7,257
780,25924,50550,859,267,24,3,248
790,25566,50983,869,273,22,5,211
800,25603,50666,885,270,21,2,178
810,24090,50551,937,304,19,4,179
820,22240,49385,992,301,16,4,174
830,20116,48713,1029,356,23,5,187
840,19791,46649,1090,395,18,7,203
850,17266,45309,1039,417,39,5,237
860,20323,44828,1033,391,26,10,255
870,19891,45804,970,392,19,11,271
880,22622,45842,955,372,24,10,255
890,23132,46588,896,369,21,10,277
900,25365,47124,819,350,25,12,269
910,29089,48050,737,321,14,10,265
920,31856,48854,684,303,23,9,242
930,32945,49176,707,311,16,12,223
940,33014,49101,726,323,14,11,179
950,30005,48508,758,319,13,8,167
960,28920,48432,852,357,10,5,145
970,24376,46375,966,387,11,6,153
980,20980,45405,1033,448,17,7,161
990,18574,42150,1086,496,11,11,172
1000,16150,40341,1196,549,14,9,194
