timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,1200,0,0,0
10,57513,9316,97,996,0,0,0
20,57688,16054,125,1005,0,0,0
30,56417,15641,184,1037,0,0,0
40,53324,15212,249,1108,0,0,0
50,50277,12721,334,1180,0,0,0
60,45517,11658,486,1250,0,0,0
70,38531,9402,691,1306,0,0,0
80,28363,8233,921,1376,0,0,0
90,19346,7969,1266,1416,0,0,0
100,9781,6831,1559,1474,0,0,0
110,3919,5879,1647,1506,0,0,0
120,2904,5527,1630,1550,0,0,0
130,2964,4331,1632,1582,0,0,0
140,3603,3357,1610,1641,0,0,0
150,3193,2702,1668,1653,0,0,0
160,2828,2740,1680,1671,0,0,0
170,2657,2760,1659,1701,0,0,0
180,2792,3092,1632,1695,0,0,0
190,3113,3084,1647,1724,0,0,0
200,2927,3004,1650,1705,0,0,0
210,3436,3857,1547,1488,26,18,96
220,4424,6486,1460,1337,14,24,115
230,6951,9098,1453,1217,19,25,118
240,6829,13660,1404,1090,24,11,137
250,8017,16237,1371,972,18,16,143
260,8568,19908,1346,855,24,14,145
270,9183,24206,1312,749,21,19,113
280,9316,28215,1381,684,24,12,109
290,7573,30965,1406,634,17,11,85
300,7984,33266,1369,601,17,5,105
310,8578,34046,1375,563,22,7,91
320,7466,36695,1437,536,17,7,73
330,6225,36978,1532,525,8,6,61
340,4984,37699,1497,519,12,4,54
350,5416,37459,1498,526,16,1,42
360,4339,37294,1575,529,14,3,46
370,4043,36822,1590,533,7,3,41
380,3605,36301,1562,555,5,2,36
390,3902,35468,1579,560,8,6,38
400,4323,35273,1557,574,8,4,34
410,4390,35108,1600,617,6,2,22
420,3716,32126,1637,651,3,2,21
430,3223,30617,1609,689,6,2,22
440,3654,28918,1594,720,7,6,27
450,3346,27334,1587,739,6,2,28
460,3934,27021,1595,751,6,3,29
470,3707,26299,1600,770,4,5,30
480,3393,25936,1603,784,7,4,31
490,3422,25210,1621,814,9,3,33
500,3026,23948,1617,841,5,4,27
510,3633,23577,1574,869,5,1,31
520,3931,21830,1618,908,5,3,29
530,3290,20241,1615,954,8,3,30
540,3296,18460,1619,974,5,2,37
550,3632,18051,1545,1003,10,4,49
560,4374,16853,1567,1005,8,6,47
570,4342,17752,1568,1038,12,2,52
580,4310,16586,1557,1035,9,10,55
590,4782,16856,1520,1023,13,9,71
600,5496,17010,1486,1003,11,6,71
610,4932,17512,1519,969,8,9,74
620,5467,18969,1498,926,16,10,87
630,5829,20541,1453,892,19,10,101
640,5866,21995,1440,828,16,12,94
650,6171,23973,1509,795,15,11,85
660,5653,25398,1459,759,14,7,84
670,6469,27539,1432,741,17,5,82
680,6066,27931,1515,706,19,9,75
690,5292,29160,1507,689,26,0,70
700,5588,30556,1504,666,15,4,73
710,5303,31542,1522,631,24,9,70
720,5279,32233,1503,636,8,7,61
730,5131,32306,1543,618,14,4,53
740,4521,32860,1542,621,7,4,45
750,4164,32506,1595,644,9,4,40
760,3561,31434,1573,653,9,6,55
770,4164,31405,1606,624,10,7,45
780,3653,32381,1588,623,9,3,44
790,3982,32368,1551,639,9,4,34
800,4729,31752,1565,676,7,2,36
810,3750,30150,1582,681,10,2,36
820,3145,30137,1621,700,8,4,40
830,3190,29054,1579,717,10,4,37
840,3992,27808,1565,745,6,4,41
850,4384,26716,1550,768,6,3,37
860,4457,25923,1618,783,10,10,33
870,4059,25555,1578,801,8,3,43
880,3984,24497,1528,801,10,2,41
890,4891,24553,1575,792,7,5,39
900,3933,24595,1592,834,11,5,43
910,4055,23104,1520,849,8,6,47
920,4787,22525,1544,866,7,1,44
930,4509,22212,1590,872,4,9,44
940,3700,21859,1549,878,12,7,53
950,4399,21527,1546,863,7,6,61
960,4032,22741,1532,843,12,10,69
970,4976,23841,1536,815,15,5,74
980,5055,24859,1514,788,16,6,73
990,5331,25876,1477,782,12,11,66
1000,5680,25942,1522,760,10,13,61
