"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,1200,0,0,0,0,0,0
1,10,57453,9467,105,1030,0,0,0,5,-14.1666666666667,0
1,20,57281,14629,138,1037,0,0,0,31.4285714285714,0.679611650485437,0
1,30,55320,14565,202,1082,0,0,0,46.3768115942029,4.33944069431051,0
1,40,52290,14220,277,1136,0,0,0,37.1287128712871,4.99075785582255,0
1,50,48659,12139,407,1192,0,0,0,46.9314079422383,4.92957746478873,0
1,60,42162,10825,561,1263,0,0,0,37.8378378378378,5.95637583892617,0
1,70,34739,9130,806,1353,0,0,0,43.6720142602496,7.12589073634204,0
1,80,23781,8165,1096,1394,0,0,0,35.9801488833747,3.03030303030303,0
1,90,14028,7252,1398,1432,0,0,0,27.5547445255474,2.72596843615495,0
1,100,6593,6217,1551,1493,0,0,0,10.9442060085837,4.25977653631285,0
1,110,4589,5531,1611,1515,0,0,0,3.86847195357834,1.4735432016075,0
1,120,3470,4990,1674,1562,0,0,0,3.91061452513966,3.1023102310231,0
1,130,2522,5410,1709,1585,0,0,0,2.09080047789725,1.47247119078105,0
1,140,2216,5138,1630,1594,0,0,0,-4.62258630778233,0.56782334384858,0
1,150,3015,4260,1618,1615,0,0,0,-0.736196319018405,1.31744040150565,0
1,160,2849,4323,1638,1635,0,0,0,1.23609394313968,1.23839009287926,0
1,170,3124,3520,1691,1655,0,0,0,3.23565323565324,1.22324159021407,0
1,180,2378,3013,1638,1674,0,0,0,-3.13424009461857,1.14803625377644,0
1,190,2680,2657,1663,1679,0,0,0,1.52625152625153,0.29868578255675,0
1,200,3074,2587,1671,1669,0,0,0,0.481058328322309,-0.595592614651578,0
1,210,2926,4043,1535,1516,14,14,91,-8.13883901855177,-9.1671659676453,0
1,220,4756,5302,1488,1387,17,11,110,-3.06188925081433,-8.50923482849604,20.8791208791209
1,230,6022,7883,1451,1259,18,15,127,-2.48655913978495,-9.22855082912761,15.4545454545455
1,240,6486,9912,1408,1129,15,15,135,-2.96347346657478,-10.3256552819698,6.2992125984252
1,250,8322,14463,1377,1017,21,14,152,-2.20170454545455,-9.92028343666962,12.5925925925926
1,260,8439,18988,1325,852,17,14,153,-3.7763253449528,-16.2241887905605,0.657894736842105
1,270,10353,24593,1303,759,16,19,144,-1.66037735849057,-10.9154929577465,-5.88235294117647
1,280,9273,28210,1345,662,26,15,127,3.22333077513431,-12.7799736495389,-11.8055555555556
1,290,8847,32005,1319,600,20,11,96,-1.93308550185874,-9.36555891238671,-24.4094488188976
1,300,9265,34730,1379,568,16,9,72,4.5489006823351,-5.33333333333333,-25
