"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,30,62500,62500,62500,62500,62500,62500,100,100,100,1200,1200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,57481.8,57452.6666666667,57510.1333333333,9429.66666666667,9306.6,9541.3,100.566666666667,99.2,101.933333333333,1012.16666666667,1006.13333333333,1018.13333333333,0,0,0,0,0,0,0,0,0,0.566666666666667,-0.766666666666667,1.93333333333333,-15.6527777777778,-16.1305555555555,-15.1722222222222,0,0,0
20,30,57460.3666666667,57363.8333333333,57537.9,15581.8666666667,15375.3333333333,15777.6,141,137.833333333333,144.333333333333,1019.16666666667,1013.86666666667,1025.13333333333,0,0,0,0,0,0,0,0,0,40.2301193819864,37.4984438203066,42.9362668026903,0.694441708054434,0.436336385116211,0.911253668613092,0,0,0
30,30,55426.6,55247.3666666667,55589.7333333333,15520.7333333333,15283.9333333333,15733.7666666667,202.966666666667,198.366666666667,207.966666666667,1064.36666666667,1058.33333333333,1070,0,0,0,0,0,0,0,0,0,44.1340685515401,41.424183228864,47.0109468036448,4.43865799122114,4.18130380081224,4.70030443597258,0,0,0
40,30,52381.8666666667,52152.4333333333,52628.6,14224.6,14010.4666666667,14433.9333333333,283.066666666667,275.2,290.966666666667,1125.13333333333,1118.93333333333,1131.26666666667,0,0,0,0,0,0,0,0,0,39.5405205152599,37.3369379052141,42.0255320067554,5.71087751601589,5.4151459582581,6.00529139590006,0,0,0
50,30,48362.3333333333,48002.2666666667,48761.3,12506.4,12293.4333333333,12706.8666666667,397.733333333333,388.6,406.933333333333,1190.43333333333,1183.53333333333,1197.16666666667,0,0,0,0,0,0,0,0,0,40.6815149688144,38.6993189946653,42.9347215361236,5.80931032157022,5.48779733296342,6.09695834844493,0,0,0
60,30,42620.8,42157.9,43129.6666666667,10871.4,10667.1,11056.6666666667,560.1,545.766666666667,574.8,1257.43333333333,1250.76666666667,1263.9,0,0,0,0,0,0,0,0,0,40.8550986846565,39.4781721845857,42.2681478435202,5.63193658754052,5.34628290801297,5.88483445861556,0,0,0
70,30,34733.8333333333,34004.4333333333,35344.5,9311.56666666667,9037.43333333333,9550.96666666667,785.933333333333,766.8,806.466666666667,1322.86666666667,1315.23333333333,1330.26666666667,0,0,0,0,0,0,0,0,0,40.3599817420102,39.2837955096202,41.4682443965166,5.20727339257988,4.80803367911831,5.60926048382589,0,0,0
80,30,24626.3333333333,23773.3666666667,25378.6333333333,8148.26666666667,7930.56666666667,8370.23333333333,1073.4,1046.93333333333,1099.06666666667,1386.06666666667,1379.06666666667,1393,0,0,0,0,0,0,0,0,0,36.6365610898922,35.6345446866742,37.6880842900676,4.78618752160928,4.38925629689771,5.15003740231901,0,0,0
90,30,14211.0333333333,13317.5333333333,14957.0333333333,6997.1,6826.1,7158.3,1373.8,1353.13333333333,1395.43333333333,1440.1,1433.6,1446.5,0,0,0,0,0,0,0,0,0,28.230162926896,26.7721120504326,29.8632762912845,3.90226558222485,3.6370278103537,4.17308449583003,0,0,0
100,30,6955.83333333333,6548.46666666667,7376.8,5990.06666666667,5830.06666666667,6155.7,1587.03333333333,1575.6,1598.26666666667,1491.56666666667,1485.4,1497.83333333333,0,0,0,0,0,0,0,0,0,15.6881902075406,14.2086817676094,17.2025079852802,3.58124648314144,3.17131514681987,3.97510086058613,0,0,0
110,30,3641.76666666667,3451.66666666667,3826.8,5256.5,5114.4,5386.56666666667,1647.43333333333,1637.8,1656.76666666667,1532.73333333333,1526.66666666667,1539.06666666667,0,0,0,0,0,0,0,0,0,3.84678370957724,2.93666416743357,4.81933676218175,2.76800241127822,2.32639344441963,3.24673937039703,0,0,0
120,30,3040.1,2900.96666666667,3186.66666666667,4731.9,4560.03333333333,4901.06666666667,1658.53333333333,1648.73333333333,1668.2,1571.26666666667,1564.16666666667,1577.83333333333,0,0,0,0,0,0,0,0,0,0.701608293589189,-0.153106973806069,1.50547225081934,2.51825050621429,2.18613201455031,2.83979975362,0,0,0
130,30,2762.26666666667,2623.8,2894.43333333333,4324.8,4167.5,4480.3,1658.93333333333,1649.56666666667,1668.6,1597.93333333333,1592,1604.76666666667,0,0,0,0,0,0,0,0,0,0.0514959806391708,-0.797758722750758,0.84864172414652,1.70163283742424,1.3833573140758,2.01072515276122,0,0,0
140,30,2770.3,2632.9,2896.2,3972.16666666667,3820.23333333333,4130.83333333333,1642.36666666667,1634.76666666667,1650.9,1624.7,1619.86666666667,1629.3,0,0,0,0,0,0,0,0,0,-0.97216525968415,-1.81390006931602,-0.269733042749525,1.6818128469312,1.32703517890991,2.01168513717129,0,0,0
150,30,3046.73333333333,2935.1,3157.66666666667,3742.8,3573.26666666667,3904.06666666667,1647.9,1636.23333333333,1658.63333333333,1643.13333333333,1635.73333333333,1649.93333333333,0,0,0,0,0,0,0,0,0,0.356370847142607,-0.465913391213882,1.17060640698565,1.13585549537305,0.832461550664704,1.45467035816755,0,0,0
160,30,2880.86666666667,2734.66666666667,3006.16666666667,3412.5,3223.9,3580.9,1650.9,1643.4,1657.8,1650.3,1643.83333333333,1657.03333333333,0,0,0,0,0,0,0,0,0,0.224085904890698,-0.648398587636347,1.19894357879593,0.440522052779234,0.104806684659939,0.765907200823968,0,0,0
170,30,2849.2,2713.06666666667,2982.73333333333,3428.73333333333,3250.4,3602.96666666667,1647,1639.66666666667,1655.16666666667,1662.33333333333,1656.53333333333,1668.06666666667,0,0,0,0,0,0,0,0,0,-0.219038017332756,-0.886988012125878,0.443710619184177,0.735072555737347,0.371778337524403,1.08486519245342,0,0,0
180,30,2853.33333333333,2724.73333333333,2970,3348.03333333333,3215.76666666667,3469.06666666667,1656.6,1646.63333333333,1666.63333333333,1667.23333333333,1660.16666666667,1673.93333333333,0,0,0,0,0,0,0,0,0,0.599155246555859,-0.16033934492298,1.3540740902385,0.297481778505097,-0.0234476962626742,0.628886495892169,0,0,0
190,30,2778.86666666667,2640.76666666667,2910.13333333333,3377.26666666667,3249.03333333333,3502.7,1647.96666666667,1639.63333333333,1657.06666666667,1672.5,1666.23333333333,1680.16666666667,0,0,0,0,0,0,0,0,0,-0.487974813864732,-1.37714145731372,0.400770091523328,0.320449655747253,-0.00596064264667373,0.655102440984162,0,0,0
200,30,2914.6,2762.63333333333,3078.43333333333,3267.03333333333,3164.76666666667,3386.3,1646.83333333333,1636.33333333333,1656.96666666667,1671.7,1665.73333333333,1677.5,0,0,0,0,0,0,0,0,0,-0.0448151956424518,-0.95647590877515,0.94524813660204,-0.0411961743959328,-0.383925175804672,0.319393287881759,0,0,0
210,30,3866.3,3717.9,4006.93333333333,4036.3,3893.7,4176.23333333333,1500.56666666667,1490.03333333333,1511.8,1486.86666666667,1481.2,1492.53333333333,19.6333333333333,18.1666666666667,21.2,19.7666666666667,18.6,20.9,99.4,96.7333333333333,102.1,-8.84702182097871,-9.77619311797593,-7.84279284414846,-11.0531754917282,-11.3549430917627,-10.72634344627,0,0,0
220,30,5634.3,5402.66666666667,5854.2,6269.7,6080.26666666667,6455.6,1460.06666666667,1449.3,1471.06666666667,1343.33333333333,1334.1,1353.1,18.5,17.0666666666667,19.9,16.9333333333333,15.4333333333333,18.4333333333333,116.666666666667,112.8,121.5,-2.67339002897825,-3.57142952373581,-1.83447943736666,-9.65201430020978,-10.2288668753179,-9.10485688262773,17.4061598920448,14.5895938572411,20.0783007846866
230,30,6305.2,6039.93333333333,6573.56666666667,9112.93333333333,8876.63333333333,9356.36666666667,1439.63333333333,1428.3,1450.83333333333,1207.46666666667,1195.3,1220.9,19.9,18.3333333333333,21.4333333333333,18.0666666666667,16.5333333333333,19.6,134.7,129.966666666667,139.666666666667,-1.37462388244438,-2.17696510842286,-0.513689220823767,-10.1222725486777,-10.7140488539338,-9.54370726717889,15.751457618945,12.6005642152296,19.0479976836968
240,30,6969.1,6637.13333333333,7324.2,12565.9,12079.8,13039.1,1399.66666666667,1385.03333333333,1414.43333333333,1062,1043.36666666667,1079.73333333333,20.6666666666667,19.0666666666667,22.4,18.4666666666667,16.2666666666667,20.5,147.3,142.8,151.733333333333,-2.77420534520952,-3.46070567440549,-2.05096466980268,-12.09284672746,-12.9534194704397,-11.2996882865806,9.94486255797197,6.78805870165833,13.4585634066287
250,30,7952.4,7580,8275.2,17274.1333333333,16613.0666666667,17878.6,1357.96666666667,1343.23333333333,1371.96666666667,920.266666666667,896.4,940.933333333333,24.1333333333333,22.4666666666667,25.8,18.7,17.3333333333333,20.1666666666667,150.533333333333,146.566666666667,154.766666666667,-2.95055563916745,-3.79410471618569,-2.17570133720218,-13.4082208033552,-14.1489077766189,-12.6730950102925,2.57676766653169,-0.30284573541323,5.39265243087609
260,30,8890.96666666667,8514.6,9293.93333333333,22148.0666666667,21315.5333333333,23061.6333333333,1333.06666666667,1314.66666666667,1350.6,798,777.866666666667,816.466666666667,23.7666666666667,22.0666666666667,25.3,16.1333333333333,14.8666666666667,17.4666666666667,147.2,141.8,152,-1.78816112549265,-3.0691765448181,-0.500869713538417,-13.2763732814684,-13.9857791330057,-12.569160716748,-2.09626136860831,-4.76883081998814,0.81405396914627
270,30,9450.4,8990.43333333333,9956.53333333333,26763.4,25884.1333333333,27690.4333333333,1327.8,1310,1344.23333333333,700.933333333333,680.2,721.2,22.4333333333333,20.7666666666667,24.1333333333333,13.7333333333333,12.2666666666667,15.1666666666667,125.733333333333,121.466666666667,129.9,-0.353295002258574,-1.40184011822776,0.588680250515551,-12.2248477202943,-13.1623929098029,-11.4155604739561,-14.309016981613,-16.4707103285263,-11.9789614905062
280,30,9325.4,8883.96666666667,9768.63333333333,30643.2666666667,29765.8666666667,31538.8666666667,1348.76666666667,1332.76666666667,1363.93333333333,627,607.3,646.033333333333,21.3666666666667,19.8666666666667,23.0333333333333,11.9,10.7,13.0333333333333,108.466666666667,104.833333333333,112.2,1.62786345028513,0.703351129305558,2.63226461433369,-10.5707368059358,-11.3679425790198,-9.82191654739932,-13.2821088784016,-16.2434096150649,-9.93742126975556
290,30,8653.43333333333,8284.26666666667,9016.6,33451.0666666667,32579.3333333333,34312.6666666667,1384,1370.03333333333,1398.03333333333,577.833333333333,556.366666666667,596.1,18.3666666666667,17.2666666666667,19.8,9.1,8.06666666666667,10.1666666666667,89.8333333333333,85.8666666666667,93.4333333333333,2.65660234409072,1.75319635975097,3.56080246264627,-7.83181802772179,-8.81244066685652,-6.96488816973683,-17.2072650552503,-19.2404329225055,-15.2560473513778
300,30,7533.33333333333,7225.06666666667,7850.23333333333,35409.9333333333,34471.3333333333,36291.9666666667,1435.3,1422.6,1448.33333333333,548.8,530.266666666667,566.266666666667,16.0333333333333,14.5,17.5,7.3,6.5,8.26666666666667,77.1333333333333,72.1,81.8333333333333,3.76938708939254,2.6495374762952,4.80940870276766,-4.9978847371239,-5.57573805252137,-4.45217433621934,-14.2448858239211,-18.106964313774,-9.99861006810989
310,30,6452.2,6189.96666666667,6701.23333333333,36491.0333333333,35619.6333333333,37276.4,1476.43333333333,1461.6,1489.6,529.066666666667,511.9,545.966666666667,15.0333333333333,13.5,16.5,5.4,4.66666666666667,6.2,65.1333333333333,60.1666666666667,69.6333333333333,2.89493415848776,1.95066263997477,3.82765366155162,-3.58669154854029,-4.62664770986986,-2.62819217528638,-15.5999832924047,-18.3218280211939,-12.9286903313759
320,30,5675.7,5439.53333333333,5922.16666666667,37247.1,36388.0666666667,38064.7666666667,1516.96666666667,1503.16666666667,1532.1,520.333333333333,501.933333333333,538.966666666667,12.6666666666667,11.5666666666667,13.7666666666667,4.96666666666667,4.23333333333333,5.73333333333333,57.6666666666667,53.9666666666667,61.1333333333333,2.76567934263545,1.97850584299653,3.54878554000956,-1.61709795104053,-2.5173287633264,-0.709050095592504,-10.711515208673,-13.3482753183702,-8.04572899941523
330,30,4912.76666666667,4643.93333333333,5199.03333333333,37527,36709.3333333333,38278.2666666667,1536.06666666667,1524.73333333333,1547.26666666667,516.5,498.666666666667,536.033333333333,10.7,9.63333333333333,11.8,4.1,3.4,4.76666666666667,50,46.3333333333333,53.6666666666667,1.31718994264118,0.222240319980196,2.27257353781858,-0.73552575722093,-1.57548878149757,0.14814064979262,-13.1211646418261,-17.0234610213431,-9.13404175811099
340,30,4631.76666666667,4406.06666666667,4850.86666666667,37643.2,36786.7,38507.2,1547.36666666667,1533.5,1560.16666666667,518.4,499.733333333333,537.7,9.93333333333333,8.66666666666667,11.0333333333333,3.93333333333333,3.26666666666667,4.6,44.2,40.8666666666667,47.8,0.780790393299082,-0.310018455647422,1.8620476317742,0.364910452490708,-0.545196070540657,1.22825232936109,-10.9530839805779,-15.0450873406051,-7.04970755343299
350,30,4375.83333333333,4162.2,4618.06666666667,37407.9333333333,36442.8333333333,38324.7,1566.8,1554.13333333333,1578.93333333333,524.4,505.1,543.466666666667,9.46666666666667,8.16666666666667,10.8333333333333,3.26666666666667,2.7,3.83333333333333,38.7333333333333,35.5666666666667,41.8333333333333,1.28038889098017,0.44013223161089,2.06706433456087,1.17420086797071,0.485802012601391,1.82720785869683,-12.2365559923371,-15.4543510727499,-8.86302008632988
360,30,4070.36666666667,3884.4,4248.36666666667,37005.2333333333,36083.9333333333,37873.0666666667,1579.63333333333,1568.43333333333,1591.3,534.233333333333,515.266666666667,553.9,8.5,7.43333333333333,9.66666666666667,3.06666666666667,2.36666666666667,3.66666666666667,36.7666666666667,33.5666666666667,40.0333333333333,0.850290307254311,-0.0738393982274429,1.75696980912223,1.86920999812676,1.1206795372351,2.56773819221002,-4.63225757036111,-9.6247851895447,0.35001437627743
370,30,3866.96666666667,3692.66666666667,4049.43333333333,36536.3,35482.3666666667,37447.7333333333,1583.23333333333,1572.1,1594.76666666667,546.766666666667,527.266666666667,568.566666666667,7.7,6.66666666666667,8.73333333333333,2.8,2.26666666666667,3.3,33.8333333333333,31,36.7,0.270401455252402,-0.732982817637742,1.37802945351338,2.35296761495844,1.72070630184504,3.01364463543114,-7.46197325390658,-11.0425772608197,-4.0549711942954
380,30,3845.56666666667,3661.33333333333,4025.03333333333,35969.0333333333,34847.8,36880.2,1590.3,1577.5,1602.56666666667,563.633333333333,543.433333333333,587.433333333333,7,6,8,2.9,2.36666666666667,3.5,32.3,29.0333333333333,35.5333333333333,0.474096330221598,-0.482175218526914,1.35218119891087,3.07858259167736,2.3104325697016,3.79694298522914,-3.67643211365391,-10.3268745340608,2.65190254511544
390,30,3762.16666666667,3554.06666666667,3951.43333333333,35177.7333333333,34066.3333333333,36191.6666666667,1601.53333333333,1588.76666666667,1614.8,582.433333333333,558.4,607.033333333333,6.1,5.23333333333333,6.96666666666667,2.46666666666667,1.83333333333333,3.06666666666667,31.0666666666667,27.9333333333333,34.2333333333333,0.737153232127037,-0.197290421442789,1.62607665809604,3.30667258569781,2.52404535026795,4.11021641300678,-2.8029921545751,-9.08712775793268,3.72877200782262
400,30,3674.53333333333,3512.43333333333,3815.6,34215.0666666667,33095.3333333333,35225.4,1583.36666666667,1573.06666666667,1594.63333333333,603.166666666667,579.633333333333,630.433333333333,6.4,5.36666666666667,7.43333333333333,2.46666666666667,1.96666666666667,2.96666666666667,29.8,26.2333333333333,33.3666666666667,-1.08896128564723,-2.09334861978959,-0.0869682545057987,3.54219545921097,2.91819188330142,4.16573792715974,-4.70321109141878,-8.58517247683831,-0.626535831869191
410,30,3760.83333333333,3588.46666666667,3922.26666666667,33277.5666666667,31916.2333333333,34427.3666666667,1591.73333333333,1580.16666666667,1603.83333333333,624.333333333333,599.433333333333,651.9,7.13333333333333,5.9,8.46666666666667,2.33333333333333,1.66666666666667,3,27.6666666666667,24.7666666666667,30.3666666666667,0.552855335845188,-0.280971486293807,1.31699536018799,3.53766050935484,2.72614387509491,4.43804853996615,-4.95322959491118,-10.4554757718122,0.937164695961907
420,30,3682.3,3518.3,3827.33333333333,32203.1666666667,31028.9,33262.3,1596.4,1584.7,1606.76666666667,647.833333333333,620.733333333333,676.066666666667,5.63333333333333,4.7,6.56666666666667,2.33333333333333,1.9,2.73333333333333,27.9,24.6666666666667,31.2,0.333371147175703,-0.78644867955245,1.30965703182098,3.67069584939058,3.02100720287603,4.26393986695895,2.34296701299653,-4.50694700336477,9.35024452680135
