"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,100,100,0,0,0,0,0,0
1,10,57575,57399,101,100,0,0,0,1,0,0
1,20,57366,57649,145,139,0,0,0,43.5643564356436,39,0
1,30,55366,55636,206,190,0,0,0,42.0689655172414,36.6906474820144,0
1,40,52158,53035,286,276,0,0,0,38.8349514563107,45.2631578947368,0
1,50,48115,48941,408,375,0,0,0,42.6573426573427,35.8695652173913,0
1,60,42113,44067,564,523,0,0,0,38.2352941176471,39.4666666666667,0
1,70,34671,36327,780,708,0,0,0,38.2978723404255,35.3728489483748,0
1,80,24486,27875,1096,1002,0,0,0,40.5128205128205,41.5254237288136,0
1,90,13096,16531,1425,1319,0,0,0,30.0182481751825,31.6367265469062,0
1,100,6167,7404,1607,1573,0,0,0,12.7719298245614,19.2570128885519,0
1,110,3342,4171,1628,1688,0,0,0,1.30678282514001,7.31087094723458,0
1,120,2892,3072,1657,1626,0,0,0,1.78132678132678,-3.67298578199052,0
1,130,2729,3017,1686,1648,0,0,0,1.75015087507544,1.3530135301353,0
1,140,2347,2778,1692,1609,0,0,0,0.355871886120996,-2.36650485436893,0
1,150,3195,3108,1628,1638,0,0,0,-3.78250591016548,1.80236171535115,0
1,160,2550,2646,1650,1684,0,0,0,1.35135135135135,2.80830280830281,0
1,170,2827,2791,1655,1653,0,0,0,0.303030303030303,-1.84085510688836,0
1,180,3074,2970,1621,1611,0,0,0,-2.05438066465257,-2.54083484573503,0
1,190,3359,3633,1647,1639,0,0,0,1.60394818013572,1.73805090006207,0
1,200,3166,2940,1661,1656,0,0,0,0.85003035822708,1.03721781574131,0
1,210,4332,4084,1410,1420,26,37,168,-15.1113786875376,-14.2512077294686,0
1,220,9767,9317,1205,1244,34,46,261,-14.5390070921986,-12.3943661971831,55.3571428571429
1,230,17368,16627,898,865,43,49,399,-25.4771784232365,-30.4662379421222,52.8735632183908
1,240,32407,33692,432,448,41,32,397,-51.8930957683742,-48.2080924855491,-0.50125313283208
1,250,48912,48376,200,212,15,12,192,-53.7037037037037,-52.6785714285714,-51.6372795969773
1,260,54837,54461,141,153,6,4,52,-29.5,-27.8301886792453,-72.9166666666667
