timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,100,100,0,0,0
10,57370,57562,101,100,0,0,0
20,57455,57513,141,139,0,0,0
30,55550,55750,216,198,0,0,0
40,51532,52782,284,274,0,0,0
50,48687,48715,408,373,0,0,0
60,42042,43655,568,559,0,0,0
70,34668,34368,775,771,0,0,0
80,24703,24686,1052,1065,0,0,0
90,14423,14580,1402,1349,0,0,0
100,6055,7349,1555,1567,0,0,0
110,3933,4104,1658,1689,0,0,0
120,2799,2098,1661,1642,0,0,0
130,2538,2839,1616,1648,0,0,0
140,3043,2965,1638,1630,0,0,0
150,2926,2834,1705,1703,0,0,0
160,2277,2037,1651,1641,0,0,0
170,3119,3192,1671,1609,0,0,0
180,2480,3382,1652,1653,0,0,0
190,2855,2821,1638,1653,0,0,0
200,3149,2516,1652,1642,0,0,0
210,4550,4304,1374,1364,29,30,198
220,12363,12751,985,1050,47,38,347
230,32258,29129,387,466,46,44,503
240,53301,51083,71,85,10,15,302
250,60201,60159,32,36,7,3,37
260,60983,60835,31,44,2,0,0
270,61037,60231,45,63,0,0,0
280,60202,59397,56,86,0,0,0
290,59694,58316,85,125,0,0,0
300,58157,56222,124,175,0,0,0
310,56292,53532,163,248,0,0,0
320,54269,49846,233,336,0,0,0
330,50998,46037,319,489,0,0,0
340,46558,38465,472,671,0,0,0
350,38712,29380,645,942,0,0,0
360,30595,18070,901,1223,0,0,0
370,20257,10237,1230,1492,0,0,0
380,9711,5295,1514,1620,0,0,0
390,4596,3581,1612,1628,0,0,0
400,3317,3069,1667,1697,0,0,0
410,2917,2466,1647,1624,0,0,0
420,2715,3251,1647,1617,0,0,0
430,2729,3161,1640,1683,0,0,0
440,2743,2549,1652,1638,0,0,0
450,2812,2841,1644,1628,0,0,0
460,2889,2538,1692,1672,0,0,0
470,2504,2720,1647,1676,0,0,0
480,2647,2585,1642,1677,0,0,0
490,3136,2652,1650,1634,0,0,0
500,3038,2881,1653,1660,0,0,0
510,2602,2555,1690,1652,0,0,0
520,2564,2854,1660,1650,0,0,0
530,3057,2947,1617,1648,0,0,0
540,3772,2563,1579,1657,0,0,0
550,3914,3534,1679,1654,0,0,0
560,2238,2528,1689,1672,0,0,0
570,2779,2365,1610,1639,0,0,0
580,3425,3003,1631,1620,0,0,0
590,3387,3656,1645,1678,0,0,0
600,3032,2573,1653,1640,0,0,0
610,2825,2694,1623,1668,0,0,0
620,3242,3332,1650,1598,0,0,0
630,2958,4077,1656,1631,0,0,0
640,2613,2691,1680,1689,0,0,0
650,2296,2299,1628,1644,0,0,0
660,3035,2992,1674,1620,0,0,0
670,2051,2950,1644,1657,0,0,0
680,2830,2176,1685,1669,0,0,0
690,2153,2924,1697,1680,0,0,0
700,2421,2563,1642,1640,0,0,0
710,2863,2980,1618,1630,0,0,0
720,3103,3437,1666,1637,0,0,0
730,2564,3065,1645,1671,0,0,0
740,3144,2417,1658,1641,0,0,0
750,2586,2998,1657,1639,0,0,0
760,2319,2827,1621,1660,0,0,0
770,2946,3074,1650,1654,0,0,0
780,3595,3319,1681,1659,0,0,0
790,2108,2982,1631,1636,0,0,0
800,3127,2353,1632,1698,0,0,0
810,2390,2382,1678,1635,0,0,0
820,2526,2474,1700,1657,0,0,0
830,2439,2727,1659,1669,0,0,0
840,2867,2214,1642,1672,0,0,0
850,2541,2405,1628,1673,0,0,0
860,3192,2148,1646,1691,0,0,0
870,2705,2410,1680,1614,0,0,0
880,2731,2985,1651,1635,0,0,0
890,3194,2784,1661,1664,0,0,0
900,2496,2643,1619,1685,0,0,0
910,3447,2891,1668,1646,0,0,0
920,2262,3209,1649,1628,0,0,0
930,2908,3465,1613,1661,0,0,0
940,3133,2469,1670,1632,0,0,0
950,2782,2589,1624,1647,0,0,0
960,3240,2480,1647,1650,0,0,0
970,3302,3076,1661,1642,0,0,0
980,3063,3196,1638,1666,0,0,0
990,2824,3313,1618,1656,0,0,0
1000,3435,2343,1656,1658,0,0,0
