"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,10,62500,62500,62500,62500,62500,62500,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,57454.6,57405.9,57504.7,57448.9,57403,57495.9,99.3,97.8,100.8,98.9,96.4,101.5,0,0,0,0,0,0,0,0,0,-0.7,-2.2,0.7,-1.1,-3.4,1.7,0,0,0
20,10,57544.1,57459,57623.6,57575.2,57416.9,57730,145.8,139.3,151.6,143.2,139,147.7,0,0,0,0,0,0,0,0,0,46.7050621813193,41.9194297719245,51.2829359859063,45.0241173200931,39.3963650254962,50.299708505578,0,0,0
30,10,55184.2,54899.5,55460.8,55365.1,55093,55635.6,211.6,207.9,215.5,207.9,199.9,215,0,0,0,0,0,0,0,0,0,45.6672742291069,40.5172494172494,51.2071514565937,45.1761621708205,42.5522096763008,47.9016778150276,0,0,0
40,10,51903.3,51680.7,52120.6,52058.3,51629,52475.6,287,278.6,296.6,285.8,275.7,298.3,0,0,0,0,0,0,0,0,0,35.5957458253958,32.846295702593,38.8717751501873,37.5673064242184,33.6214712433643,41.6503423906925,0,0,0
50,10,48252.4,47792.8,48649.1,48227.2,47629.6,48800,409.8,395.4,427.2,402.9,387.1,417.7,0,0,0,0,0,0,0,0,0,42.763132924148,40.4533214032437,45.1955819640478,41.0556830606572,38.8196222849886,43.3654176000528,0,0,0
60,10,41962.4,41186.4,42681.7,42352,41662.4,43093.3,570.1,552.7,588.8,570.6,551.5,588.2,0,0,0,0,0,0,0,0,0,39.2200727918867,37.5792999597947,40.8864828953458,41.7383145915769,39.5112011837221,44.4204308718957,0,0,0
70,10,34263,33302.4,35108.5,34089.3,33220.7,34892.2,797.6,774,827.2,802.1,780.3,825.6,0,0,0,0,0,0,0,0,0,39.9087435139952,38.1471595368629,41.9534210796542,40.6707498807104,38.3789633537538,42.6380402344305,0,0,0
80,10,24065,22674.7,25173.8,23841.7,22795.3,24770.6,1071.4,1044,1105.6,1094.4,1066.3,1123.9,0,0,0,0,0,0,0,0,0,34.4167297869946,32.9631174020505,35.7239332052769,36.4807681848028,34.9195761078559,38.0344547871973,0,0,0
90,10,14220.5,13398.1,14901.7,13529.2,12728.2,14288.5,1389.6,1367.3,1416.7,1398,1360.2,1435.1,0,0,0,0,0,0,0,0,0,29.8274437170105,27.5888205163243,32.0046454200317,27.7566428172214,26.6904679490769,29.0595735098725,0,0,0
100,10,6608.6,6032.8,7160.4,6275.4,5641.7,6787.7,1578.6,1555.7,1602.9,1597.4,1578.7,1615.5,0,0,0,0,0,0,0,0,0,13.6537876792987,11.975498065982,15.299516743852,14.4687077187894,11.2138651934218,17.6167194646646,0,0,0
110,10,3714.7,3421.1,4033.8,3577.9,3288.7,3889.4,1663.3,1649.1,1677.9,1669,1656.8,1680.7,0,0,0,0,0,0,0,0,0,5.41785702812309,3.5711546213299,6.89602952699656,4.52407903712713,2.88630437860571,6.17712979786926,0,0,0
120,10,2832,2733.8,2956.1,2803.6,2594.3,2994,1649.5,1630.5,1665.7,1644.9,1631.5,1659.4,0,0,0,0,0,0,0,0,0,-0.795370335857711,-2.57264054328014,0.685553837000654,-1.42459401612206,-2.62101193314521,0.0336428641238405,0,0,0
130,10,3033,2794.2,3297.2,3052.9,2866.9,3245.4,1650.8,1632.6,1668,1655.3,1641.6,1668.8,0,0,0,0,0,0,0,0,0,0.103368142074946,-1.25820025274462,1.60369624782777,0.658499751472626,-0.76768842616674,1.84319270875395,0,0,0
140,10,2938.6,2720.4,3143.2,2853,2632.9,3082.4,1647.7,1637.6,1656.7,1638.4,1622.6,1653.5,0,0,0,0,0,0,0,0,0,-0.151364705300309,-1.54649287896403,1.26211243428816,-1.00398850038491,-2.19178088742573,0.359068459668629,0,0,0
150,10,2845.9,2666,3037.9,3127.3,2997.9,3259.8,1650.8,1624.3,1679.4,1642.4,1613.7,1672.1,0,0,0,0,0,0,0,0,0,0.212692642307132,-1.88786858544748,2.32163762608066,0.28841096362198,-2.02124173621582,2.74660766373668,0,0,0
160,10,2775.8,2543.8,3012.7,2865.7,2567.1,3198.9,1652.1,1628.2,1675.7,1647.9,1634,1662,0,0,0,0,0,0,0,0,0,0.174681612581439,-2.51523941832723,2.6834894779171,0.432863228708363,-1.898346550197,2.70502506275592,0,0,0
170,10,2802.3,2519,3056.1,3001.4,2833.9,3150.6,1664.8,1635.6,1691.8,1645.7,1629.5,1663,0,0,0,0,0,0,0,0,0,0.847521645332005,-1.88980494145146,3.19930208883684,-0.116317874302919,-1.26181049015323,1.30392275408296,0,0,0
180,10,2553.9,2367,2824.7,3001.5,2733.4,3218.4,1659.2,1645.7,1673.3,1645,1627.7,1658.7,0,0,0,0,0,0,0,0,0,-0.238175058915757,-2.63823990132452,2.12644022925869,-0.0193199479353994,-1.25424085630408,1.33336796037552,0,0,0
190,10,2903.8,2693.3,3135.3,3060.8,2759,3381.8,1651.3,1635.4,1667.4,1658.2,1644.5,1672.4,0,0,0,0,0,0,0,0,0,-0.455118424249319,-1.79345955458476,0.856604855786521,0.832089632218588,-0.531064373063004,2.31583463784731,0,0,0
200,10,2846.7,2675,2996,2751,2515.4,2971.5,1638.3,1626.9,1651.1,1638.7,1626.9,1650.6,0,0,0,0,0,0,0,0,0,-0.766725447094839,-1.85646383886561,0.244921959101161,-1.15759889763304,-2.23821590261538,-0.10830917713345,0,0,0
210,10,4777.5,4593.4,4944.6,4887.3,4613.4,5174.6,1368,1352.4,1386.2,1353.6,1343.4,1362.5,31.3,29.5,33,31.2,28,34.1,193.1,188.9,197.2,-16.477210133576,-17.9166113255024,-14.8942497859528,-17.3806312519724,-18.5677622392977,-16.4715697129689,0,0,0
220,10,12572.2,12070.2,13036.7,13231.7,12763.5,13643.9,1018.1,1001.6,1033.2,1019.5,999.9,1039,42.4,39.6,45,37.2,33.8,40.9,355.1,350.7,359.8,-25.5543021037174,-26.9593333973398,-24.2564631064548,-24.6799301210712,-26.0862931565839,-23.1049431013966,84.1197183519864,79.9904340947704,88.8927320569809
230,10,30400.5,29834.1,31056.2,30441.6,29646.1,31192.9,438.7,414.6,459.5,446.4,423.5,472.1,45.5,42.5,49.2,40.1,36.5,43.8,518.2,506.7,529.1,-56.9544617460626,-58.6931716149131,-55.2504727614894,-56.221109016007,-58.338127737276,-53.8816493760883,45.9981368659272,42.1441541143646,49.6107945470848
240,10,52149.3,51496,52770.4,51985.3,51187.7,52654.5,71.6,63.9,79.8,70,60.9,79,12.7,11.2,14.2,14,12.2,15.6,313.2,297.7,327.4,-83.7368558936839,-85.1410263910197,-82.4879701439947,-84.3349561365089,-86.0298515406293,-82.7145324614791,-39.4403019782934,-42.9744422675292,-36.0797414888489
250,10,60430.2,60168.9,60677.1,60580.2,60342.5,60806.2,24.5,19.1,29.5,22.9,18.6,27.8,2.9,2,4.1,2.7,1.9,3.6,43.5,36.8,49.6,-66.0793712155459,-71.8440775153584,-60.8401910671878,-66.9962910376367,-72.3808085373946,-62.2732480919209,-86.1643676200727,-88.0365316395618,-84.4055002804868
260,10,61420.2,61188.7,61614.6,61466.8,61216.4,61673.7,26.5,22.2,31.2,24.4,19,30.1,0.6,0.2,1,0.1,0,0.3,2.5,1.2,4.1,13.3599859132403,-0.0761278195488656,26.0885260134909,6.96769434269434,-6.12433862433862,22.7702153510977,-94.4487021131275,-97.235604622101,-91.5012426277401
270,10,61176.7,60967.6,61367.3,61304.2,60968.7,61571.1,37,30.9,43.7,35.7,27.5,44.7,0,0,0,0,0,0,0,0,0,39.4763081364534,31.4234716896007,47.7499454731837,46.0302689052689,30.8129324977151,60.7904040404041,-80,-100,-60
280,10,60639.9,60331.6,60933.9,60724.9,60300.5,61129.3,51,44,58.6,48.1,35.8,60.6,0,0,0,0,0,0,0,0,0,40.8596972961189,32.4828354524528,51.2746760408051,33.2489845926016,26.8233619169789,39.2582904955245,0,0,0
290,10,59938.7,59544.8,60304.1,60095.5,59508.3,60642.8,71.6,60.3,83.6,69.9,54,85.8,0,0,0,0,0,0,0,0,0,39.7294656867828,33.3067410140581,45.5204847704848,49.5973173742657,42.1551428150699,59.0862290862291,0,0,0
300,10,58902.4,58325.8,59427.5,58975.6,58113.3,59810,103.4,87.2,118.8,95.5,70.1,121.7,0,0,0,0,0,0,0,0,0,45.0527667618029,37.7021629270265,51.3090218214157,33.8550890783495,27.8013632059795,41.2114654039182,0,0,0
310,10,57376.9,56467,58189.2,57714.4,56271.9,59000.6,140.8,117.8,164.1,137.5,101.1,172.9,0,0,0,0,0,0,0,0,0,36.0191164601681,30.5532020920452,41.9127096132706,44.6047154366775,40.9868998599067,48.1967243896348,0,0,0
320,10,55510.8,54264.9,56598.5,55652.2,53597.7,57396.1,197,163.4,231.3,190.2,140.1,242.1,0,0,0,0,0,0,0,0,0,40.0847673360593,35.7689271249622,44.5952454333776,38.9594379125823,35.1789309934392,42.8826044999294,0,0,0
330,10,52707.3,51195.6,54158.8,52998.8,50471.4,55226.9,277.5,235.4,324.3,270,205.3,346.4,0,0,0,0,0,0,0,0,0,41.2518078969212,38.4143301235631,44.0162467462831,42.2554665349708,39.692501795646,44.9572304143662,0,0,0
340,10,48579.7,46307.2,50729.8,49079.8,45395,52352.3,391.5,329.2,457.6,373.4,271.6,471.8,0,0,0,0,0,0,0,0,0,40.8439527045949,36.3588656847853,44.7473250800572,37.471479467023,33.4411811353202,40.5598098632282,0,0,0
350,10,42879.4,39559.9,45847.5,43921.4,38954.1,48369.8,560.5,471.4,656.2,533.4,403.7,670.9,0,0,0,0,0,0,0,0,0,43.425580205973,41.1733010555504,46.0399652829523,44.5560310586351,41.5685901908263,48.214101604011,0,0,0
