timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,4000,0,0,300
1,250000,230062,0,3937,0,72,300
2,250000,210364,0,3867,0,72,300
3,250000,191148,0,3804,0,65,300
4,250000,171729,0,3744,0,64,300
5,250000,153002,0,3682,0,64,300
6,250000,134830,0,3619,0,66,300
7,250000,116936,0,3546,0,77,300
8,250000,99497,0,3489,0,59,300
9,250000,82706,0,3430,0,63,300
10,250000,67194,0,2812,0,64,210
11,250000,236251,0,2783,0,31,210
12,250000,222139,0,2749,0,36,210
13,250000,208736,0,2712,0,37,210
14,250000,195329,0,2678,0,34,210
15,250000,181931,0,2647,0,31,210
16,250000,168543,0,2623,0,25,210
17,250000,155249,0,2594,0,31,210
18,250000,142186,0,2556,0,39,210
19,250000,129217,0,2531,0,25,210
20,250000,116789,0,2615,0,34,146
21,250000,237086,0,2593,0,22,146
22,250000,224015,0,2577,0,16,146
23,250000,211123,0,2555,0,22,146
24,250000,198352,0,2536,0,19,146
25,250000,185764,0,2521,0,15,146
26,250000,173246,0,2502,0,19,146
27,250000,160628,0,2480,0,22,146
28,250000,148485,0,2457,0,23,146
29,250000,136165,0,2436,0,21,146
30,250000,123973,0,2981,0,21,106
31,250000,235333,0,2967,0,14,106
32,250000,220381,0,2944,0,23,106
33,250000,205521,0,2921,0,23,106
34,250000,191019,0,2899,0,25,106
35,250000,176486,0,2877,0,22,106
36,250000,162059,0,2859,0,18,106
37,250000,147788,0,2845,0,14,106
38,250000,133666,0,2820,0,27,106
39,250000,119840,0,2801,0,20,106
40,250000,106432,0,3456,0,19,97
41,250000,232797,0,3436,0,20,97
42,250000,215716,0,3428,0,8,97
43,250000,198576,0,3407,0,21,97
44,250000,181731,0,3390,0,17,97
45,250000,164829,0,3356,0,34,97
46,250000,148315,0,3333,0,23,97
47,250000,131721,0,3310,0,24,97
48,250000,115495,0,3291,0,19,97
49,250000,99799,0,3276,0,15,97
50,250000,84908,0,3804,0,15,90
51,250000,230789,0,3785,0,19,90
52,250000,211694,0,3762,0,24,90
53,250000,193114,0,3741,0,21,90
54,250000,174276,0,3722,0,20,90
55,250000,155806,0,3698,0,24,90
56,250000,137638,0,3680,0,18,90
57,250000,119470,0,3665,0,15,90
58,250000,101834,0,3645,0,20,90
59,250000,85035,0,3636,0,9,90
60,250000,69887,0,4157,0,19,102
61,250000,228983,0,4133,0,24,102
62,250000,208068,0,4108,0,25,102
63,250000,187098,0,4079,0,30,102
64,250000,166637,0,4057,0,23,102
65,250000,146403,0,4038,0,21,102
66,250000,126574,0,4018,0,20,102
67,250000,107689,0,3998,0,21,102
68,250000,89128,0,3975,0,23,102
69,250000,71613,0,3952,0,24,102
70,250000,55752,0,4628,0,21,101
71,250000,227027,0,4604,0,24,101
72,250000,204263,0,4577,0,27,101
73,250000,181382,0,4547,0,32,101
74,250000,158370,0,4522,0,25,101
75,250000,135917,0,4493,0,29,101
76,250000,113558,0,4466,0,28,101
77,250000,92287,0,4445,0,21,101
78,250000,73200,0,4425,0,20,101
79,250000,55601,0,4399,0,26,101
80,250000,40843,0,4906,0,15,103
81,250000,225570,0,4874,0,34,103
82,250000,201026,0,4845,0,29,103
83,250000,176947,0,4822,0,24,103
84,250000,152938,0,4801,0,21,103
85,250000,129226,0,4782,0,19,103
86,250000,105996,0,4763,0,19,103
87,250000,84068,0,4743,0,20,103
88,250000,63861,0,4725,0,18,103
89,250000,45827,0,4709,0,16,103
90,250000,31616,0,5049,0,17,112
91,250000,224803,0,5027,0,22,112
92,250000,199324,0,4996,0,31,112
93,250000,174002,0,4966,0,30,112
94,250000,149131,0,4939,0,30,112
95,250000,124529,0,4908,0,31,112
96,250000,100631,0,4878,0,30,112
97,250000,78071,0,4854,0,24,112
98,250000,57517,0,4833,0,21,112
