timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,4000,0,0,300
1,250000,230330,0,3928,0,77,300
2,250000,210857,0,3862,0,71,300
3,250000,191737,0,3812,0,52,300
4,250000,172905,0,3754,0,61,300
5,250000,154098,0,3696,0,63,300
6,250000,135765,0,3637,0,59,300
7,250000,117819,0,3571,0,69,300
8,250000,100316,0,3522,0,53,300
9,250000,83949,0,3458,0,68,300
10,250000,68365,0,2751,0,59,197
11,250000,236431,0,2712,0,39,197
12,250000,222808,0,2680,0,33,197
13,250000,209371,0,2638,0,44,197
14,250000,196163,0,2625,0,15,197
15,250000,182978,0,2594,0,32,197
16,250000,169882,0,2565,0,31,197
17,250000,156753,0,2530,0,36,197
18,250000,143892,0,2500,0,30,197
19,250000,131492,0,2474,0,27,197
20,250000,119527,0,2601,0,23,145
21,250000,236871,0,2572,0,29,145
22,250000,223979,0,2553,0,19,145
23,250000,211300,0,2528,0,25,145
24,250000,198821,0,2501,0,27,145
25,250000,186362,0,2475,0,27,145
26,250000,174180,0,2449,0,27,145
27,250000,161977,0,2426,0,24,145
28,250000,149741,0,2400,0,26,145
29,250000,138064,0,2388,0,12,145
30,250000,126258,0,2892,0,21,116
31,250000,235742,0,2871,0,21,116
32,250000,221531,0,2853,0,18,116
33,250000,207323,0,2827,0,26,116
34,250000,193054,0,2808,0,19,116
35,250000,179022,0,2790,0,19,116
36,250000,165205,0,2772,0,18,116
37,250000,150766,0,2756,0,16,116
38,250000,137043,0,2733,0,23,116
39,250000,123728,0,2720,0,13,116
40,250000,110821,0,3341,0,17,99
41,250000,233192,0,3324,0,17,99
42,250000,216560,0,3303,0,22,99
43,250000,199807,0,3286,0,17,99
44,250000,183259,0,3264,0,23,99
45,250000,166993,0,3245,0,20,99
46,250000,150795,0,3222,0,23,99
47,250000,134885,0,3210,0,13,99
48,250000,119475,0,3190,0,21,99
49,250000,104681,0,3177,0,13,99
50,250000,89787,0,3717,0,17,81
51,250000,231459,0,3699,0,18,81
52,250000,212888,0,3683,0,16,81
53,250000,194685,0,3668,0,15,81
54,250000,176176,0,3651,0,18,81
55,250000,158060,0,3629,0,22,81
56,250000,139717,0,3614,0,15,81
57,250000,122050,0,3601,0,13,81
58,250000,105591,0,3585,0,16,81
59,250000,89310,0,3570,0,16,81
60,250000,73802,0,4162,0,17,82
61,250000,229256,0,4137,0,25,82
62,250000,208551,0,4110,0,28,82
63,250000,188322,0,4087,0,23,82
64,250000,168176,0,4076,0,11,82
65,250000,147749,0,4058,0,20,82
66,250000,127380,0,4042,0,17,82
67,250000,108000,0,4032,0,10,82
68,250000,88938,0,4015,0,17,82
69,250000,71212,0,4003,0,13,82
70,250000,55574,0,4570,0,16,79
71,250000,226841,0,4547,0,24,79
72,250000,204320,0,4522,0,25,79
73,250000,181691,0,4510,0,12,79
74,250000,158820,0,4490,0,20,79
75,250000,136438,0,4468,0,23,79
76,250000,113864,0,4456,0,12,79
77,250000,92050,0,4446,0,10,79
78,250000,72141,0,4428,0,18,79
79,250000,54593,0,4409,0,19,79
80,250000,39819,0,4962,0,13,83
81,250000,224871,0,4942,0,20,83
82,250000,200107,0,4919,0,24,83
83,250000,175458,0,4895,0,25,83
84,250000,150985,0,4875,0,21,83
85,250000,126642,0,4855,0,20,83
86,250000,103251,0,4835,0,20,83
87,250000,81176,0,4821,0,14,83
88,250000,61388,0,4804,0,17,83
89,250000,44111,0,4791,0,13,83
90,250000,30686,0,5121,0,11,98
91,250000,224196,0,5093,0,30,98
92,250000,198808,0,5070,0,25,98
93,250000,173766,0,5047,0,23,98
94,250000,148608,0,5018,0,30,98
95,250000,124087,0,4989,0,29,98
96,250000,99878,0,4968,0,23,98
97,250000,77507,0,4947,0,22,98
98,250000,56595,0,4925,0,23,98
99,250000,39947,0,4903,0,22,98
100,250000,26785,0,5212,0,21,103
101,250000,224147,0,5178,0,37,103
102,250000,198175,0,5155,0,23,103
103,250000,172576,0,5126,0,32,103
104,250000,147023,0,5093,0,33,103
105,250000,121781,0,5070,0,23,103
106,250000,97338,0,5045,0,26,103
107,250000,74748,0,5016,0,30,103
108,250000,54547,0,4993,0,23,103
109,250000,37928,0,4976,0,17,103
110,250000,25293,0,5222,0,21,121
111,250000,223881,0,5188,0,35,121
112,250000,198255,0,5153,0,36,121
113,250000,172409,0,5118,0,36,121
114,250000,146546,0,5080,0,39,121
115,250000,121256,0,5053,0,27,121
116,250000,96925,0,5027,0,26,121
117,250000,73998,0,4999,0,28,121
118,250000,53202,0,4970,0,31,121
119,250000,35569,0,4949,0,21,121
120,250000,22491,0,5151,0,25,135
121,250000,224101,0,5120,0,31,135
122,250000,198678,0,5081,0,40,135
123,250000,173641,0,5041,0,41,135
124,250000,149072,0,5004,0,37,135
125,250000,124070,0,4978,0,27,135
126,250000,99773,0,4953,0,25,135
127,250000,76592,0,4924,0,29,135
128,250000,55888,0,4895,0,31,135
129,250000,37954,0,4864,0,32,135
130,250000,24135,0,5275,0,24,156
131,250000,223574,0,5227,0,51,156
132,250000,197110,0,5185,0,44,156
133,250000,171482,0,5152,0,35,156
134,250000,145244,0,5109,0,48,156
135,250000,119784,0,5065,0,44,156
136,250000,95469,0,5026,0,42,156
137,250000,72236,0,4987,0,41,156
138,250000,51812,0,4957,0,31,156
139,250000,35291,0,4918,0,42,156
140,250000,22704,0,5177,0,37,170
141,250000,224081,0,5131,0,50,170
142,250000,198408,0,5093,0,39,170
143,250000,172894,0,5056,0,39,170
144,250000,147923,0,5020,0,39,170
145,250000,122953,0,4964,0,59,170
146,250000,98740,0,4919,0,45,170
147,250000,76226,0,4885,0,36,170
148,250000,55643,0,4855,0,31,170
149,250000,38331,0,4821,0,34,170
150,250000,25183,0,5079,0,40,188
151,250000,224459,0,5030,0,51,188
152,250000,199432,0,4970,0,64,188
153,250000,174428,0,4920,0,54,188
154,250000,149752,0,4879,0,43,188
155,250000,125610,0,4836,0,43,188
156,250000,102007,0,4797,0,42,188
157,250000,79847,0,4759,0,41,188
158,250000,59730,0,4716,0,44,188
159,250000,42689,0,4684,0,32,188
160,250000,29078,0,5106,0,33,214
161,250000,223999,0,5046,0,65,214
162,250000,198907,0,4984,0,66,214
163,250000,173867,0,4937,0,50,214
164,250000,149192,0,4884,0,55,214
165,250000,124813,0,4829,0,56,214
166,250000,101252,0,4773,0,61,214
167,250000,79367,0,4728,0,45,214
168,250000,59275,0,4688,0,42,214
169,250000,42380,0,4654,0,35,214
170,250000,28510,0,5044,0,36,222
171,250000,224617,0,4976,0,69,222
172,250000,199421,0,4913,0,65,222
173,250000,174858,0,4862,0,55,222
174,250000,150750,0,4811,0,51,222
175,250000,126812,0,4753,0,59,222
176,250000,103685,0,4709,0,46,222
177,250000,81553,0,4659,0,53,222
178,250000,61316,0,4618,0,41,222
179,250000,43687,0,4578,0,41,222
180,250000,30074,0,4917,0,41,232
181,250000,225560,0,4849,0,73,232
182,250000,201410,0,4783,0,70,232
183,250000,177769,0,4730,0,58,232
184,250000,153777,0,4677,0,56,232
185,250000,130222,0,4616,0,65,232
186,250000,107226,0,4569,0,49,232
187,250000,84796,0,4517,0,56,232
188,250000,64415,0,4474,0,47,232
189,250000,46417,0,4439,0,40,232
190,250000,32107,0,4944,0,38,260
191,250000,225205,0,4887,0,66,260
192,250000,200745,0,4831,0,63,260
193,250000,176435,0,4770,0,63,260
194,250000,152524,0,4699,0,76,260
195,250000,129072,0,4643,0,64,260
196,250000,106256,0,4593,0,54,260
197,250000,85096,0,4546,0,51,260
198,250000,65728,0,4491,0,57,260
199,250000,48583,0,4444,0,47,260
200,250000,34622,0,4787,0,54,283
201,250000,226233,0,4702,0,94,283
202,250000,202651,0,4632,0,76,283
203,250000,179254,0,4563,0,73,283
204,250000,156470,0,4492,0,78,283
205,250000,134173,0,4439,0,56,283
206,250000,112064,0,4377,0,65,283
207,250000,91060,0,4317,0,64,283
208,250000,71490,0,4262,0,58,283
209,250000,54548,0,4208,0,58,283
210,250000,39880,0,4681,0,58,300
211,250000,226832,0,4622,0,67,300
212,250000,203119,0,4539,0,88,300
213,250000,180527,0,4463,0,82,300
214,250000,158148,0,4401,0,66,300
215,250000,135905,0,4347,0,56,300
216,250000,114098,0,4291,0,60,300
217,250000,92941,0,4232,0,65,300
218,250000,73802,0,4176,0,60,300
219,250000,56218,0,4115,0,64,300
220,250000,41021,0,4679,0,49,300
221,250000,226597,0,4599,0,87,300
222,250000,204042,0,4532,0,70,300
223,250000,181172,0,4458,0,78,300
224,250000,158803,0,4391,0,74,300
225,250000,137033,0,4329,0,71,300
226,250000,115895,0,4258,0,75,300
227,250000,95837,0,4205,0,54,300
228,250000,76516,0,4154,0,53,300
229,250000,59245,0,4103,0,55,300
230,250000,44036,0,4602,0,54,322
231,250000,227099,0,4528,0,76,322
232,250000,204312,0,4455,0,83,322
233,250000,181964,0,4380,0,82,322
234,250000,160056,0,4313,0,73,322
235,250000,138683,0,4237,0,83,322
236,250000,117773,0,4167,0,75,322
237,250000,97646,0,4102,0,69,322
238,250000,78997,0,4034,0,72,322
239,250000,61888,0,3980,0,57,322
240,250000,47114,0,4392,0,64,337
241,250000,227914,0,4319,0,76,337
242,250000,206506,0,4246,0,79,337
243,250000,185287,0,4155,0,101,337
244,250000,164480,0,4090,0,73,337
245,250000,144020,0,4022,0,79,337
246,250000,123990,0,3963,0,63,337
247,250000,104645,0,3902,0,70,337
248,250000,85684,0,3848,0,58,337
249,250000,68421,0,3790,0,62,337
250,250000,53191,0,4361,0,48,347
251,250000,228339,0,4279,0,94,347
252,250000,206779,0,4194,0,98,347
253,250000,185994,0,4108,0,95,347
254,250000,165704,0,4033,0,78,347
255,250000,145644,0,3950,0,86,347
256,250000,126096,0,3883,0,73,347
257,250000,107002,0,3829,0,57,347
258,250000,89311,0,3771,0,64,347
259,250000,72775,0,3721,0,54,347
260,250000,57375,0,4226,0,54,357
261,250000,229331,0,4137,0,99,357
262,250000,208514,0,4047,0,92,357
263,250000,188181,0,3966,0,85,357
264,250000,167910,0,3899,0,72,357
265,250000,148806,0,3832,0,73,357
266,250000,129866,0,3758,0,84,357
267,250000,111572,0,3681,0,82,357
268,250000,94109,0,3631,0,53,357
269,250000,77610,0,3571,0,64,357
270,250000,62288,0,4090,0,59,379
271,250000,229241,0,4020,0,78,379
272,250000,209137,0,3940,0,86,379
273,250000,189593,0,3858,0,87,379
274,250000,170406,0,3785,0,78,379
275,250000,151176,0,3721,0,68,379
276,250000,132535,0,3643,0,86,379
277,250000,114569,0,3569,0,81,379
278,250000,97276,0,3510,0,63,379
279,250000,81308,0,3437,0,81,379
280,250000,66502,0,3980,0,69,352
281,250000,230207,0,3915,0,72,352
282,250000,210582,0,3854,0,67,352
283,250000,191205,0,3794,0,64,352
284,250000,172068,0,3736,0,67,352
285,250000,153435,0,3670,0,73,352
286,250000,135268,0,3593,0,80,352
287,250000,117406,0,3536,0,67,352
288,250000,100088,0,3469,0,69,352
289,250000,83732,0,3414,0,58,352
290,250000,68500,0,3984,0,50,343
291,250000,230002,0,3909,0,82,343
292,250000,210568,0,3839,0,77,343
293,250000,191156,0,3771,0,72,343
294,250000,172085,0,3703,0,74,343
295,250000,153718,0,3651,0,56,343
296,250000,135170,0,3587,0,74,343
297,250000,117570,0,3518,0,74,343
298,250000,100390,0,3458,0,64,343
299,250000,84428,0,3399,0,62,343
300,250000,69746,0,3972,0,51,338
301,249567,230009,99,3900,1,82,338
302,249048,210708,97,3831,2,74,338
303,248526,191756,95,3767,2,66,338
304,248052,172703,93,3689,2,86,338
305,247513,154360,91,3620,2,75,338
306,247046,136109,89,3560,2,63,338
307,246622,118353,86,3501,3,63,338
308,246205,101387,85,3446,1,58,338
309,245805,85400,84,3389,1,61,338
310,245415,70528,94,3922,2,59,354
311,249585,230357,94,3852,0,72,354
312,249109,211033,92,3780,2,82,354
313,248687,191972,89,3703,3,87,354
314,248221,173446,88,3625,1,82,354
315,247808,155371,83,3554,5,77,354
316,247445,137635,82,3491,1,68,354
317,246999,120485,81,3429,1,68,354
318,246582,104269,79,3376,2,58,354
319,246184,88504,76,3323,3,58,354
320,245821,73590,91,3967,1,68,349
321,249576,230320,90,3899,1,73,349
322,249090,210807,90,3805,0,97,349
323,248621,191717,87,3733,3,78,349
324,248143,173149,85,3669,2,67,349
325,247798,154639,83,3603,2,73,349
326,247342,136584,82,3544,1,61,349
327,246918,119184,78,3493,4,54,349
328,246570,102405,77,3449,1,47,349
329,246160,86423,77,3381,0,69,349
330,245748,71278,108,3827,2,57,331
331,249489,230794,103,3766,5,66,331
332,248974,211859,101,3689,2,80,331
333,248506,193345,95,3632,6,60,331
334,248037,175099,95,3565,0,70,331
335,247556,157261,95,3517,0,53,331
336,247051,139692,90,3457,5,66,331
337,246541,122698,88,3392,2,69,331
338,246065,106485,85,3334,3,61,331
339,245636,90297,84,3286,1,50,331
340,245186,75216,103,3822,3,59,327
341,249479,231004,100,3753,3,76,327
342,248970,212324,98,3698,2,58,327
343,248496,194034,93,3646,5,59,327
344,248087,175850,91,3572,2,78,327
345,247653,158063,91,3506,0,75,327
346,247185,140976,87,3455,4,51,327
347,246737,124011,86,3393,1,64,327
348,246350,107185,85,3343,1,52,327
349,245925,91071,84,3296,1,49,327
350,245465,75796,137,3899,2,55,319
351,249314,230457,134,3835,3,72,319
352,248655,211377,129,3766,5,80,319
353,248027,192762,125,3714,4,61,319
354,247396,174287,121,3652,4,68,319
355,246778,155955,119,3595,2,60,319
356,246155,138368,114,3539,5,60,319
357,245578,121096,110,3473,4,75,319
358,245029,104574,108,3420,2,55,319
359,244482,88738,104,3365,4,57,319
360,243963,74003,138,3860,3,49,328
361,249309,230797,134,3791,4,81,328
362,248642,212069,129,3715,6,82,328
363,248002,193358,126,3643,3,83,328
364,247333,174842,122,3580,4,66,328
365,246669,157022,121,3517,1,67,328
366,246087,139648,120,3452,1,69,328
367,245473,122810,119,3391,1,67,328
368,244904,106015,117,3339,2,56,328
369,244369,90430,115,3289,2,51,328
370,243772,75517,162,3894,2,33,320
371,249147,230709,157,3825,5,81,320
372,248359,211776,155,3762,2,66,320
373,247647,192896,151,3701,4,65,320
374,246909,174676,147,3641,4,65,320
375,246221,156489,144,3570,3,77,320
376,245536,138759,139,3516,6,56,320
377,244806,121582,135,3460,4,56,320
378,244153,104583,133,3410,2,52,320
379,243475,88461,133,3365,0,48,320
380,242747,73317,179,3951,1,66,331
381,249035,230060,174,3883,5,74,331
382,248128,210667,169,3818,5,69,331
383,247278,191643,167,3751,2,69,331
384,246470,173186,164,3683,3,71,331
385,245635,154832,163,3623,1,61,331
386,244787,136806,158,3563,5,63,331
387,243996,119371,154,3502,4,64,331
388,243260,102476,152,3452,2,51,331
389,242619,86423,150,3396,2,60,331
390,241874,71608,219,3829,2,65,333
391,248941,230976,217,3754,2,81,333
392,247894,212284,214,3685,3,76,333
393,246764,194053,208,3622,6,67,333
394,245768,176004,203,3563,5,65,333
395,244677,158089,199,3496,4,70,333
396,243747,140661,192,3427,7,73,333
397,242752,124046,186,3364,6,65,333
398,241798,107820,183,3312,3,54,333
399,240856,92484,178,3276,5,37,333
400,240046,77853,221,3757,3,51,335
401,248833,231440,217,3696,5,68,335
402,247760,212641,213,3626,4,75,335
403,246717,194378,209,3554,4,77,335
404,245607,176874,207,3485,2,72,335
405,244615,159384,204,3413,3,80,335
406,243553,142254,197,3359,7,62,335
407,242617,125890,194,3305,3,59,335
408,241661,109929,190,3256,4,52,335
409,240773,94809,185,3200,5,58,335
410,239845,80425,265,3786,5,48,321
411,248635,230937,258,3708,7,80,321
412,247288,212588,250,3657,8,58,321
413,246013,194265,239,3584,11,79,321
414,244881,176272,236,3515,3,72,321
415,243633,158597,231,3458,5,60,321
416,242505,141377,227,3401,4,64,321
417,241371,124749,225,3331,2,75,321
418,240230,108503,217,3287,9,47,321
419,239131,92831,213,3239,4,49,321
420,238094,78163,306,3758,2,54,346
421,248549,231120,297,3687,9,75,346
422,247044,212632,292,3619,5,76,346
423,245596,194618,283,3561,9,64,346
424,244276,176818,278,3500,5,65,346
425,242904,159381,271,3437,7,69,346
426,241543,142226,268,3385,3,57,346
427,240222,125889,260,3330,8,56,346
428,238919,109677,252,3277,8,57,346
429,237686,93995,245,3223,7,57,346
430,236420,79559,319,3754,8,44,330
431,248426,231071,309,3695,10,63,330
432,246892,212673,305,3625,4,73,330
433,245412,194372,298,3567,7,62,330
434,243934,176429,292,3496,6,81,330
435,242406,158895,286,3437,6,63,330
436,241002,141636,281,3371,5,70,330
437,239588,124603,281,3313,0,61,330
438,238094,108450,274,3263,7,51,330
439,236645,92786,267,3202,7,64,330
440,235391,78437,369,3780,4,45,328
441,248205,231347,362,3706,8,85,328
442,246404,212736,356,3639,6,72,328
443,244631,194602,347,3576,10,67,328
444,242827,177134,339,3507,8,73,328
445,241132,159623,331,3450,8,58,328
446,239534,142129,324,3393,7,60,328
447,237940,125230,318,3335,6,61,328
448,236285,109245,313,3279,5,61,328
449,234735,93904,307,3239,6,45,328
450,233129,79317,435,3776,6,48,320
451,247928,231005,428,3707,7,78,320
452,245765,212348,411,3639,17,76,320
453,243869,194116,403,3587,8,60,320
454,241925,176203,397,3516,6,71,320
455,239935,158426,388,3450,9,72,320
456,238044,141246,379,3399,9,52,320
457,236133,124336,369,3348,10,56,320
458,234233,108273,359,3292,10,59,320
459,232391,93190,354,3241,5,54,320
460,230583,78826,508,3673,6,53,344
461,247506,231240,495,3608,14,67,344
462,245102,213322,479,3540,17,73,344
463,242661,195871,467,3473,12,70,344
464,240394,178475,447,3414,20,63,344
465,238087,161159,440,3350,7,66,344
466,236113,144166,432,3291,8,65,344
467,233902,127799,419,3239,13,54,344
468,231815,111857,411,3193,8,49,344
469,229757,96842,404,3145,7,49,344
470,227790,82648,541,3760,12,50,348
471,247343,231532,529,3696,12,70,348
472,244662,213425,520,3620,9,82,348
473,242153,195337,507,3551,13,75,348
474,239472,177760,496,3482,11,74,348
475,237055,160237,491,3434,5,53,348
476,234551,142774,477,3379,14,58,348
477,232118,125968,466,3330,11,50,348
478,229724,109992,454,3265,12,67,348
479,227523,94655,437,3221,17,44,348
480,225401,80176,582,3815,10,56,343
481,247082,231376,568,3731,14,92,343
482,244286,212489,553,3659,15,81,343
483,241640,194550,540,3603,13,65,343
484,238976,176662,525,3536,15,69,343
485,236349,158768,516,3475,9,67,343
486,233838,141636,506,3422,10,53,343
487,231419,124370,494,3364,12,60,343
488,229032,108052,481,3305,13,62,343
489,226664,92873,471,3254,13,54,343
490,224221,78619,666,3653,8,45,354
491,246714,231644,653,3582,13,75,354
492,243418,213797,633,3502,20,83,354
493,240271,196088,622,3438,11,71,354
494,237192,179150,605,3372,18,68,354
495,234030,162613,594,3312,11,66,354
496,231155,145985,581,3255,13,58,354
497,228266,130098,569,3213,12,46,354
498,225324,114470,553,3153,16,66,354
499,222594,99313,539,3102,14,54,354
500,220079,84559,754,3671,5,54,364
501,246312,231733,733,3588,21,94,364
502,242494,213669,715,3512,18,80,364
503,238868,196252,702,3438,13,82,364
504,235218,178955,684,3362,18,78,364
505,231683,162115,675,3294,9,72,364
506,228482,145658,667,3236,8,63,364
507,225210,129721,655,3178,12,62,364
508,221874,114028,646,3129,9,55,364
509,218659,99104,635,3070,11,61,364
510,215562,84916,888,3612,18,54,405
511,245637,231449,869,3523,19,102,405
512,241213,213957,847,3444,24,87,405
513,237014,196678,821,3372,26,83,405
514,232853,179659,804,3298,19,80,405
515,228897,163186,781,3233,23,70,405
516,225044,147033,763,3171,18,67,405
